region	country	latency
0	0	1530
0	1	696
0	2	458
0	3	554
0	4	441
1	0	1539
1	1	388
1	2	1744
1	3	115
1	4	619
2	0	876
2	1	1074
2	2	1108
2	3	653
2	4	251
3	0	1757
3	1	165
3	2	610
3	3	366
3	4	785
4	0	1122
4	1	809
4	2	197
4	3	1169
4	4	1097
5	0	1023
5	1	1823
5	2	71
5	3	589
5	4	424
6	0	216
6	1	1775
6	2	832
6	3	990
6	4	1510
7	0	952
7	1	933
7	2	1157
7	3	1409
7	4	130
8	0	1282
8	1	915
8	2	65
8	3	1479
8	4	182
9	0	998
9	1	169
9	2	362
9	3	847
9	4	1069
10	0	507
10	1	1388
10	2	1229
10	3	819
10	4	954
11	0	1026
11	1	1375
11	2	944
11	3	1917
11	4	225
