region	country	latency
0	0	1760
0	1	1888
0	2	776
0	3	1232
0	4	1049
0	5	1313
0	6	1040
0	7	470
0	8	553
0	9	165
0	10	1114
0	11	1407
0	12	1722
0	13	1852
0	14	1260
0	15	1482
0	16	709
0	17	49
0	18	96
0	19	856
1	0	283
1	1	1338
1	2	869
1	3	113
1	4	725
1	5	1359
1	6	1235
1	7	767
1	8	1573
1	9	1344
1	10	1711
1	11	561
1	12	456
1	13	382
1	14	207
1	15	1649
1	16	667
1	17	1035
1	18	1841
1	19	292
2	0	135
2	1	663
2	2	730
2	3	845
2	4	653
2	5	808
2	6	844
2	7	1987
2	8	418
2	9	140
2	10	115
2	11	629
2	12	1897
2	13	583
2	14	586
2	15	707
2	16	1290
2	17	639
2	18	1083
2	19	49
3	0	857
3	1	1107
3	2	731
3	3	1399
3	4	1765
3	5	521
3	6	717
3	7	332
3	8	1518
3	9	660
3	10	537
3	11	94
3	12	1469
3	13	1288
3	14	685
3	15	81
3	16	99
3	17	954
3	18	1342
3	19	1867
4	0	1212
4	1	37
4	2	757
4	3	261
4	4	222
4	5	768
4	6	1501
4	7	949
4	8	163
4	9	793
4	10	1031
4	11	1598
4	12	1707
4	13	1465
4	14	1500
4	15	1964
4	16	1683
4	17	1667
4	18	1183
4	19	97
5	0	1636
5	1	1212
5	2	1673
5	3	1973
5	4	1842
5	5	1106
5	6	1721
5	7	1557
5	8	1934
5	9	1092
5	10	1601
5	11	1030
5	12	1408
5	13	1435
5	14	1904
5	15	280
5	16	497
5	17	1467
5	18	1968
5	19	822
6	0	1901
6	1	108
6	2	1634
6	3	960
6	4	661
6	5	1070
6	6	1660
6	7	979
6	8	307
6	9	1132
6	10	649
6	11	541
6	12	1192
6	13	367
6	14	1565
6	15	1686
6	16	203
6	17	1576
6	18	1308
6	19	306
7	0	804
7	1	770
7	2	1709
7	3	1487
7	4	1748
7	5	1957
7	6	711
7	7	1789
7	8	1798
7	9	233
7	10	1972
7	11	65
7	12	1833
7	13	129
7	14	883
7	15	745
7	16	906
7	17	1364
7	18	1237
7	19	30
8	0	1175
8	1	1672
8	2	304
8	3	811
8	4	713
8	5	973
8	6	154
8	7	481
8	8	182
8	9	332
8	10	1468
8	11	633
8	12	1066
8	13	829
8	14	790
8	15	523
8	16	1612
8	17	708
8	18	1382
8	19	1312
9	0	723
9	1	756
9	2	1610
9	3	1807
9	4	1541
9	5	265
9	6	408
9	7	898
9	8	494
9	9	892
9	10	1464
9	11	1420
9	12	891
9	13	1851
9	14	1009
9	15	1327
9	16	568
9	17	1325
9	18	1997
9	19	252
10	0	1775
10	1	59
10	2	1235
10	3	142
10	4	659
10	5	1716
10	6	1534
10	7	872
10	8	1781
10	9	210
10	10	640
10	11	825
10	12	896
10	13	392
10	14	1903
10	15	781
10	16	1107
10	17	1708
10	18	1138
10	19	700
11	0	1762
11	1	1163
11	2	215
11	3	704
11	4	987
11	5	1129
11	6	472
11	7	1890
11	8	1270
11	9	451
11	10	894
11	11	1317
11	12	483
11	13	229
11	14	765
11	15	1078
11	16	754
11	17	569
11	18	663
11	19	620
12	0	1074
12	1	1268
12	2	1736
12	3	572
12	4	1151
12	5	429
12	6	1096
12	7	514
12	8	257
12	9	1283
12	10	1769
12	11	1598
12	12	1243
12	13	998
12	14	719
12	15	950
12	16	136
12	17	1207
12	18	1747
12	19	508
13	0	197
13	1	655
13	2	1066
13	3	1853
13	4	1987
13	5	327
13	6	888
13	7	1247
13	8	1501
13	9	628
13	10	1087
13	11	1955
13	12	1768
13	13	83
13	14	1656
13	15	1265
13	16	1619
13	17	426
13	18	137
13	19	1770
14	0	633
14	1	198
14	2	1953
14	3	1107
14	4	226
14	5	122
14	6	1459
14	7	460
14	8	1942
14	9	1651
14	10	1745
14	11	1151
14	12	190
14	13	839
14	14	1351
14	15	250
14	16	1337
14	17	285
14	18	981
14	19	541
15	0	1879
15	1	1453
15	2	644
15	3	1847
15	4	1519
15	5	830
15	6	702
15	7	1228
15	8	1490
15	9	1304
15	10	1667
15	11	168
15	12	332
15	13	659
15	14	1714
15	15	1252
15	16	1574
15	17	1552
15	18	440
15	19	715
16	0	408
16	1	605
16	2	1095
16	3	757
16	4	666
16	5	980
16	6	252
16	7	654
16	8	1363
16	9	147
16	10	417
16	11	1042
16	12	237
16	13	78
16	14	696
16	15	30
16	16	1347
16	17	303
16	18	1271
16	19	1144
17	0	230
17	1	1611
17	2	41
17	3	1360
17	4	938
17	5	1785
17	6	1751
17	7	1413
17	8	809
17	9	398
17	10	1685
17	11	1135
17	12	921
17	13	10
17	14	908
17	15	334
17	16	1275
17	17	205
17	18	239
17	19	1101
18	0	1011
18	1	270
18	2	1498
18	3	609
18	4	1906
18	5	173
18	6	1583
18	7	1264
18	8	481
18	9	1068
18	10	1229
18	11	796
18	12	1257
18	13	1191
18	14	955
18	15	807
18	16	1343
18	17	818
18	18	876
18	19	332
19	0	711
19	1	972
19	2	1568
19	3	338
19	4	1724
19	5	1478
19	6	1164
19	7	1838
19	8	1714
19	9	390
19	10	752
19	11	253
19	12	1147
19	13	1543
19	14	958
19	15	1763
19	16	1861
19	17	673
19	18	1897
19	19	1406
20	0	1141
20	1	1666
20	2	420
20	3	1794
20	4	1752
20	5	236
20	6	1061
20	7	1630
20	8	987
20	9	253
20	10	809
20	11	776
20	12	1729
20	13	1415
20	14	1094
20	15	629
20	16	766
20	17	1309
20	18	1607
20	19	609
21	0	604
21	1	665
21	2	487
21	3	163
21	4	1
21	5	1635
21	6	791
21	7	1180
21	8	374
21	9	195
21	10	885
21	11	82
21	12	521
21	13	75
21	14	1489
21	15	145
21	16	1248
21	17	984
21	18	1580
21	19	1763
22	0	953
22	1	1212
22	2	1609
22	3	382
22	4	1045
22	5	543
22	6	217
22	7	514
22	8	1726
22	9	506
22	10	762
22	11	1266
22	12	1687
22	13	1913
22	14	376
22	15	975
22	16	859
22	17	163
22	18	130
22	19	332
23	0	1041
23	1	1625
23	2	428
23	3	1438
23	4	1298
23	5	1751
23	6	1255
23	7	1045
23	8	1805
23	9	1071
23	10	1727
23	11	216
23	12	1934
23	13	1520
23	14	623
23	15	64
23	16	702
23	17	726
23	18	1090
23	19	739
24	0	146
24	1	1444
24	2	236
24	3	1852
24	4	512
24	5	164
24	6	152
24	7	209
24	8	1954
24	9	1230
24	10	392
24	11	311
24	12	372
24	13	1948
24	14	1265
24	15	1511
24	16	461
24	17	130
24	18	1898
24	19	1472
25	0	709
25	1	374
25	2	1642
25	3	977
25	4	683
25	5	435
25	6	1618
25	7	1698
25	8	957
25	9	776
25	10	598
25	11	961
25	12	585
25	13	873
25	14	126
25	15	278
25	16	587
25	17	606
25	18	1301
25	19	473
26	0	1191
26	1	1449
26	2	1781
26	3	459
26	4	1635
26	5	1660
26	6	962
26	7	940
26	8	708
26	9	1388
26	10	1739
26	11	941
26	12	1615
26	13	166
26	14	1766
26	15	1818
26	16	390
26	17	370
26	18	860
26	19	894
27	0	1250
27	1	653
27	2	768
27	3	302
27	4	1113
27	5	1826
27	6	95
27	7	366
27	8	125
27	9	739
27	10	1350
27	11	1593
27	12	1156
27	13	1352
27	14	1320
27	15	858
27	16	999
27	17	621
27	18	1968
27	19	1426
28	0	1531
28	1	1571
28	2	598
28	3	1982
28	4	1568
28	5	1790
28	6	331
28	7	1156
28	8	1910
28	9	823
28	10	1538
28	11	1748
28	12	1761
28	13	787
28	14	404
28	15	1126
28	16	249
28	17	1173
28	18	1711
28	19	1569
29	0	600
29	1	1258
29	2	574
29	3	294
29	4	1645
29	5	812
29	6	478
29	7	1616
29	8	1312
29	9	825
29	10	563
29	11	1423
29	12	1787
29	13	1698
29	14	647
29	15	54
29	16	1117
29	17	801
29	18	103
29	19	1557
30	0	112
30	1	1501
30	2	1727
30	3	308
30	4	550
30	5	870
30	6	1822
30	7	1221
30	8	441
30	9	1460
30	10	518
30	11	1264
30	12	180
30	13	1374
30	14	291
30	15	950
30	16	279
30	17	965
30	18	1741
