country	region	latency
0	0	416
0	1	408
0	2	407
0	3	1033
0	4	1174
0	5	363
0	6	109
0	7	84
0	8	1888
0	9	630
0	10	937
0	11	1112
0	12	1182
0	13	640
0	14	400
0	15	1789
0	16	1121
0	17	209
0	18	1871
0	19	1523
0	20	1573
0	21	1113
0	22	1197
0	23	681
0	24	523
0	25	1389
0	26	832
0	27	894
0	28	1440
0	29	1658
0	30	492
0	31	1735
0	32	433
0	33	1165
0	34	349
0	35	618
0	36	985
0	37	917
0	38	1182
0	39	435
0	40	670
0	41	1519
0	42	1992
0	43	1556
0	44	1745
0	45	650
0	46	1626
0	47	882
0	48	723
0	49	1338
0	50	974
0	51	1730
0	52	1875
0	53	1373
0	54	210
0	55	1249
0	56	1496
0	57	1500
1	0	956
1	1	1475
1	2	1274
1	3	94
1	4	223
1	5	440
1	6	1935
1	7	1556
1	8	774
1	9	864
1	10	1992
1	11	1939
1	12	1297
1	13	126
1	14	803
1	15	1425
1	16	233
1	17	709
1	18	1125
1	19	1107
1	20	1480
1	21	785
1	22	843
1	23	310
1	24	837
1	25	478
1	26	599
1	27	1897
1	28	757
1	29	1307
1	30	1002
1	31	1963
1	32	513
1	33	413
1	34	1582
1	35	1698
1	36	1991
1	37	148
1	38	201
1	39	312
1	40	957
1	41	733
1	42	1753
1	43	1074
1	44	846
1	45	1050
1	46	1023
1	47	2
1	48	293
1	49	1204
1	50	447
1	51	1890
1	52	1702
1	53	1380
1	54	1603
1	55	1633
1	56	1719
1	57	1115
2	0	1809
2	1	1125
2	2	1862
2	3	132
2	4	658
2	5	269
2	6	1704
2	7	119
2	8	1287
2	9	1747
2	10	1541
2	11	911
2	12	459
2	13	1229
2	14	1730
2	15	837
2	16	1116
2	17	668
2	18	1789
2	19	545
2	20	1838
2	21	300
2	22	362
2	23	450
2	24	1053
2	25	1276
2	26	782
2	27	602
2	28	1632
2	29	977
2	30	1873
2	31	1733
2	32	765
2	33	1655
2	34	1867
2	35	671
2	36	286
2	37	1885
2	38	1378
2	39	522
2	40	978
2	41	493
2	42	1441
2	43	1546
2	44	298
2	45	841
2	46	620
2	47	1484
2	48	209
2	49	704
2	50	1313
2	51	445
2	52	1892
2	53	1911
2	54	1308
2	55	1046
2	56	1652
2	57	1995
3	0	593
3	1	61
3	2	992
3	3	903
3	4	1442
3	5	1126
3	6	1779
3	7	349
3	8	424
3	9	227
3	10	359
3	11	1769
3	12	820
3	13	304
3	14	350
3	15	185
3	16	435
3	17	1825
3	18	722
3	19	826
3	20	1213
3	21	1902
3	22	1225
3	23	1017
3	24	212
3	25	141
3	26	1750
3	27	1323
3	28	1801
3	29	965
3	30	763
