region	country	latency
0	0	416
0	1	956
0	2	1809
0	3	593
0	4	833
0	5	123
0	6	1386
0	7	1963
0	8	1121
0	9	37
0	10	708
0	11	144
0	12	860
0	13	1446
0	14	1773
1	0	408
1	1	1475
1	2	1125
1	3	61
1	4	540
1	5	812
1	6	1405
1	7	277
1	8	1188
1	9	980
1	10	408
1	11	281
1	12	1833
1	13	1724
1	14	1272
2	0	407
2	1	1274
2	2	1862
2	3	992
2	4	220
2	5	68
2	6	1268
2	7	1031
2	8	727
2	9	1613
2	10	574
2	11	1966
2	12	506
2	13	920
2	14	1240
3	0	1033
3	1	94
3	2	132
3	3	903
3	4	1978
3	5	1432
3	6	700
3	7	1506
3	8	1217
3	9	1409
3	10	398
3	11	1119
3	12	122
3	13	220
3	14	313
4	0	1174
4	1	223
4	2	658
4	3	1442
4	4	1545
4	5	945
4	6	1669
4	7	1049
4	8	816
4	9	1062
4	10	1769
4	11	1199
4	12	1119
4	13	1510
4	14	1909
5	0	363
5	1	440
5	2	269
5	3	1126
5	4	1401
5	5	1421
5	6	376
5	7	505
5	8	1238
5	9	1736
5	10	1549
5	11	1765
5	12	720
5	13	136
5	14	1917
6	0	109
6	1	1935
6	2	1704
6	3	1779
6	4	997
6	5	699
6	6	45
6	7	73
6	8	437
6	9	1470
6	10	775
6	11	1920
6	12	1263
6	13	1116
6	14	1998
7	0	84
7	1	1556
7	2	119
7	3	349
7	4	746
7	5	1343
7	6	356
7	7	700
7	8	1609
7	9	709
7	10	273
7	11	1929
7	12	595
7	13	580
7	14	608
8	0	1888
8	1	774
8	2	1287
8	3	424
8	4	1749
8	5	777
8	6	958
8	7	1739
8	8	448
8	9	1716
8	10	1612
8	11	1803
8	12	1391
8	13	1068
8	14	1449
9	0	630
9	1	864
9	2	1747
9	3	227
9	4	1884
9	5	1111
9	6	1763
9	7	33
9	8	8
9	9	337
9	10	216
9	11	1747
9	12	339
9	13	7
9	14	1102
10	0	937
10	1	1992
10	2	1541
10	3	359
10	4	1301
10	5	330
10	6	717
10	7	990
10	8	520
10	9	584
10	10	1527
10	11	1901
10	12	1582
10	13	1785
10	14	1220
11	0	1112
11	1	1939
11	2	911
11	3	1769
11	4	1021
11	5	1709
11	6	1230
11	7	1766
11	8	113
11	9	692
11	10	723
11	11	1060
11	12	1197
11	13	1349
11	14	1026
12	0	1182
12	1	1297
12	2	459
12	3	820
12	4	245
12	5	178
12	6	1251
12	7	1106
12	8	639
12	9	867
12	10	1779
12	11	1561
12	12	219
12	13	1428
12	14	1726
13	0	640
13	1	126
13	2	1229
13	3	304
13	4	1859
13	5	1629
13	6	1198
13	7	247
13	8	1340
13	9	1913
13	10	788
13	11	891
13	12	1659
13	13	796
13	14	1557
14	0	400
14	1	803
14	2	1730
14	3	350
14	4	417
14	5	1093
14	6	439
14	7	1182
14	8	1908
14	9	1190
14	10	233
14	11	508
14	12	811
14	13	1007
14	14	1732
15	0	1789
15	1	1425
15	2	837
15	3	185
15	4	1518
15	5	1251
15	6	84
15	7	1129
15	8	1675
15	9	1095
15	10	1678
15	11	87
15	12	1619
15	13	1027
15	14	858
16	0	1121
16	1	233
16	2	1116
16	3	435
16	4	638
16	5	1035
16	6	987
16	7	540
16	8	780
16	9	42
16	10	842
16	11	689
16	12	1599
16	13	1316
16	14	1952
17	0	209
17	1	709
17	2	668
17	3	1825
17	4	1231
17	5	734
17	6	1960
17	7	341
17	8	238
17	9	1555
17	10	1636
17	11	451
17	12	1774
17	13	525
17	14	69
18	0	1871
18	1	1125
18	2	1789
18	3	722
18	4	1158
18	5	1207
18	6	1634
18	7	1467
18	8	1674
18	9	178
18	10	84
18	11	785
18	12	418
18	13	553
18	14	596
19	0	1523
19	1	1107
19	2	545
19	3	826
19	4	960
19	5	65
19	6	505
19	7	592
19	8	1215
19	9	1097
19	10	1530
19	11	715
19	12	152
19	13	262
19	14	1050
20	0	1573
20	1	1480
20	2	1838
20	3	1213
20	4	560
20	5	561
20	6	1902
20	7	1458
20	8	1169
20	9	1487
20	10	927
20	11	1785
20	12	1670
20	13	833
20	14	690
21	0	1113
21	1	785
21	2	300
21	3	1902
21	4	899
21	5	922
21	6	494
21	7	1671
21	8	235
21	9	1562
21	10	1763
21	11	1086
21	12	40
21	13	1455
21	14	1102
22	0	1197
22	1	843
22	2	362
22	3	1225
22	4	357
22	5	920
22	6	1452
22	7	558
22	8	983
22	9	1906
22	10	206
22	11	1858
22	12	589
22	13	254
22	14	1425
23	0	681
23	1	310
23	2	450
23	3	1017
23	4	674
23	5	1244
23	6	727
23	7	1670
23	8	464
23	9	1190
23	10	1234
23	11	1534
23	12	478
23	13	476
23	14	869
24	0	523
24	1	837
24	2	1053
24	3	212
24	4	900
24	5	608
24	6	925
24	7	111
24	8	864
24	9	63
24	10	1346
24	11	771
24	12	777
24	13	819
24	14	1118
25	0	1389
25	1	478
25	2	1276
25	3	141
25	4	1013
25	5	899
25	6	1955
25	7	464
25	8	1670
25	9	1577
25	10	1693
25	11	1026
25	12	1807
25	13	381
25	14	1777
26	0	832
26	1	599
26	2	782
26	3	1750
26	4	87
26	5	1470
26	6	595
26	7	164
26	8	45
26	9	493
26	10	153
26	11	487
26	12	734
26	13	851
26	14	157
27	0	894
27	1	1897
27	2	602
27	3	1323
27	4	401
27	5	1564
27	6	84
27	7	1717
27	8	1753
27	9	79
27	10	47
27	11	562
27	12	594
27	13	47
27	14	580
28	0	1440
28	1	757
28	2	1632
28	3	1801
28	4	1079
28	5	1522
28	6	1388
28	7	479
28	8	1811
28	9	907
28	10	1935
28	11	178
28	12	34
28	13	1231
28	14	1377
29	0	1658
