country	region	latency
0	0	340
0	1	1021
0	2	1710
0	3	1421
0	4	516
0	5	1290
0	6	912
0	7	1229
0	8	305
0	9	1088
0	10	1894
0	11	475
0	12	988
0	13	1172
0	14	1320
0	15	208
0	16	598
0	17	1211
0	18	1745
0	19	1008
0	20	262
0	21	1916
0	22	1172
0	23	228
0	24	1471
0	25	434
0	26	197
0	27	1648
0	28	1671
0	29	733
0	30	1653
0	31	772
0	32	1577
0	33	1777
0	34	1686
0	35	1318
0	36	945
0	37	1829
0	38	7970
0	39	4650
0	40	9075
0	41	2515
0	42	9240
0	43	4240
0	44	1895
0	45	4350
0	46	6925
0	47	2410
0	48	1790
0	49	7395
0	50	7440
0	51	9305
0	52	5415
0	53	1320
0	54	9715
0	55	2275
0	56	4775
0	57	8415
0	58	5210
0	59	4975
0	60	4770
0	61	325
0	62	6650
0	63	7610
0	64	8760
0	65	3295
0	66	123
0	67	1663
0	68	1278
0	69	519
0	70	792
0	71	1687
0	72	1488
0	73	1902
0	74	1032
0	75	465
0	76	1305
0	77	1122
0	78	589
0	79	1844
0	80	104
0	81	976
0	82	1849
0	83	1054
0	84	143
0	85	1808
0	86	871
0	87	9555
0	88	4800
0	89	1415
0	90	3775
0	91	8580
0	92	1760
0	93	5040
0	94	9390
0	95	1157
0	96	436
0	97	126
0	98	1834
0	99	906
0	100	1015
0	101	1580
0	102	14
0	103	653
0	104	550
0	105	1128
0	106	111
0	107	1141
0	108	1103
0	109	739
0	110	367
0	111	1478
0	112	240
0	113	160
0	114	591
0	115	1010
0	116	1434
0	117	107
0	118	413
0	119	1465
0	120	1797
0	121	580
0	122	1701
0	123	1364
0	124	953
0	125	583
0	126	1585
0	127	389
0	128	720
0	129	1571
0	130	1180
0	131	989
0	132	745
0	133	57
0	134	627
0	135	923
0	136	1813
0	137	471
0	138	1691
0	139	647
0	140	386
0	141	1159
0	142	1760
0	143	1103
0	144	395
0	145	899
0	146	1996
0	147	22
0	148	1730
0	149	8545
0	150	4355
0	151	5235
0	152	9050
0	153	7760
0	154	7965
0	155	6680
0	156	4580
0	157	7050
0	158	9415
0	159	9610
0	160	6815
0	161	4780
0	162	5205
0	163	3505
0	164	9105
0	165	9135
0	166	2050
0	167	4000
0	168	7200
0	169	7770
0	170	695
0	171	1969
0	172	1334
0	173	600
0	174	1116
0	175	24
0	176	1531
0	177	1009
0	178	1946
0	179	358
0	180	1228
0	181	41
0	182	557
0	183	836
0	184	167
0	185	1173
0	186	377
0	187	632
0	188	614
0	189	592
0	190	863
0	191	1451
0	192	1156
0	193	1220
0	194	380
0	195	892
0	196	238
0	197	1817
0	198	727
0	199	251
0	200	196
0	201	1006
0	202	533
0	203	1257
0	204	187
0	205	1231
0	206	1982
0	207	260
0	208	346
0	209	1561
0	210	402
0	211	449
0	212	1276
0	213	729
0	214	1951
0	215	915
0	216	252
0	217	594
0	218	1609
0	219	48
0	220	107
0	221	1638
0	222	153
0	223	1215
0	224	1638
0	225	692
0	226	3360
0	227	3040
0	228	330
0	229	4600
0	230	8645
1	0	1188
1	1	855
1	2	415
1	3	352
1	4	1053
1	5	1669
1	6	718
1	7	238
1	8	429
1	9	1486
1	10	754
1	11	1730
1	12	286
1	13	405
1	14	304
1	15	1688
1	16	9
1	17	1493
1	18	590
1	19	1869
1	20	911
1	21	916
1	22	887
1	23	1624
1	24	1118
1	25	501
1	26	461
1	27	338
1	28	1517
1	29	1972
1	30	155
1	31	669
1	32	1640
1	33	1163
1	34	1462
1	35	57
1	36	453
1	37	1859
1	38	6785
1	39	4050
1	40	110
1	41	7645
1	42	5180
1	43	8215
1	44	4010
1	45	2035
1	46	9700
1	47	7155
1	48	9435
1	49	2935
1	50	2490
1	51	215
1	52	5600
1	53	4190
1	54	3915
1	55	1540
1	56	8210
1	57	3590
1	58	4805
1	59	720
1	60	9230
1	61	5460
1	62	8460
1	63	4645
1	64	3005
1	65	7935
1	66	68
1	67	933
1	68	345
1	69	1953
1	70	1712
1	71	562
1	72	686
1	73	760
1	74	1812
1	75	768
1	76	1034
1	77	1072
1	78	611
1	79	1158
1	80	1549
1	81	1694
1	82	1393
1	83	6
1	84	1324
1	85	1000
1	86	129
1	87	7950
1	88	1455
1	89	9240
1	90	7325
1	91	6705
1	92	4435
1	93	7510
1	94	4385
1	95	1388
1	96	703
1	97	836
1	98	1212
1	99	1257
1	100	478
1	101	315
1	102	825
1	103	941
1	104	1832
1	105	1975
1	106	1977
1	107	477
1	108	952
1	109	123
1	110	1192
1	111	1124
